,Meshblock_Id,Theft and Related Offences:victims,Theft and Related Offences:records,has_weapon,"Unlawful Entry With Intent/Burglary, Break and Enter:victims","Unlawful Entry With Intent/Burglary, Break and Enter:records",Acts Intended to Cause Injury:victims,Acts Intended to Cause Injury:records,"Robbery, Extortion and Related Offences:victims","Robbery, Extortion and Related Offences:records",Sexual Assault and Related Offences:victims,Sexual Assault and Related Offences:records
0,450100,78.0,75.0,True,13.0,13.0,19.0,17.0,5.0,3.0,2.0,2.0
0,450300,217.0,211.0,True,10.0,10.0,10.0,10.0,1.0,1.0,0.0,0.0
0,450500,30.0,28.0,True,15.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0
0,450600,12.0,12.0,True,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
0,450701,8.0,8.0,True,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
0,450901,146.0,134.0,True,13.0,13.0,16.0,14.0,3.0,3.0,2.0,2.0
0,451000,261.0,236.0,True,49.0,48.0,17.0,16.0,10.0,4.0,1.0,1.0
0,451100,147.0,139.0,True,20.0,20.0,10.0,10.0,0.0,0.0,1.0,1.0
0,451200,185.0,161.0,True,13.0,13.0,5.0,5.0,1.0,1.0,0.0,0.0
0,480900,54.0,43.0,True,10.0,10.0,3.0,3.0,1.0,1.0,1.0,1.0
0,490701,146.0,136.0,True,28.0,28.0,8.0,7.0,3.0,2.0,1.0,1.0
0,4000137,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4000138,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4000139,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4000140,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4001321,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4011331,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4011333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4011334,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
